date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
"June 18, 2007",http://www.newyorker.com/contributors/helen-simpson,Helen Simpson,http://www.newyorker.com/magazine/2007/06/25/homework-8,Homework,Homework,Helen Simpson,http://www.newyorker.com/magazine/fiction/page/41
"June 4, 2007",http://www.newyorker.com/contributors/junot-diaz,Junot Díaz,http://www.newyorker.com/magazine/2007/06/11/wildwood,Wildwood,Wildwood,Junot Díaz,http://www.newyorker.com/magazine/fiction/page/41
"June 4, 2007",http://www.newyorker.com/contributors/miranda-july,Miranda July,http://www.newyorker.com/magazine/2007/06/11/roy-spivey,Roy Spivey,Roy Spivey,Miranda July,http://www.newyorker.com/magazine/fiction/page/41
"June 4, 2007",http://www.newyorker.com/contributors/denis-johnson,Denis Johnson,http://www.newyorker.com/magazine/2007/06/11/1966,1966,1966,Denis Johnson,http://www.newyorker.com/magazine/fiction/page/41
"May 28, 2007",http://www.newyorker.com/contributors/william-trevor,William Trevor,http://www.newyorker.com/magazine/2007/06/04/faith-5,Faith,Faith,William Trevor,http://www.newyorker.com/magazine/fiction/page/41
"May 21, 2007",http://www.newyorker.com/contributors/george-saunders,George Saunders,http://www.newyorker.com/magazine/2007/05/28/puppy-2,PUPPY,PUPPY,George Saunders,http://www.newyorker.com/magazine/fiction/page/41
"May 14, 2007",http://www.newyorker.com/contributors/nadine-gordimer,Nadine Gordimer,http://www.newyorker.com/magazine/2007/05/21/a-beneficiary,A Beneficiary,A Beneficiary,Nadine Gordimer,http://www.newyorker.com/magazine/fiction/page/41
"May 7, 2007",,,http://www.newyorker.com/magazine/2007/05/14/hanwell-senior,Hanwell Senior,Hanwell Senior,,http://www.newyorker.com/magazine/fiction/page/41
"April 30, 2007",http://www.newyorker.com/contributors/colm-toibin,Colm Toibin,http://www.newyorker.com/magazine/2007/05/07/one-minus-one,One Minus One,One Minus One,Colm Toibin,http://www.newyorker.com/magazine/fiction/page/41
"April 23, 2007",http://www.newyorker.com/contributors/richard-rayner,Richard Rayner,http://www.newyorker.com/magazine/2007/04/30/after-the-movie,After the Movie,After the Movie,Richard Rayner,http://www.newyorker.com/magazine/fiction/page/41
"April 16, 2007",http://www.newyorker.com/contributors/john-burnside,John Burnside,http://www.newyorker.com/magazine/2007/04/23/something-like-happy,Something Like Happy,Something Like Happy,John Burnside,http://www.newyorker.com/magazine/fiction/page/42
"April 9, 2007",http://www.newyorker.com/contributors/marguerite-duras,Marguerite Duras,http://www.newyorker.com/magazine/2007/04/16/the-stolen-pigeons,The Stolen Pigeons,The Stolen Pigeons,Marguerite Duras,http://www.newyorker.com/magazine/fiction/page/42
"April 2, 2007",http://www.newyorker.com/contributors/roddy-doyle,Roddy Doyle,http://www.newyorker.com/magazine/2007/04/02/teaching,Teaching,Teaching,Roddy Doyle,http://www.newyorker.com/magazine/fiction/page/42
"April 2, 2007",http://www.newyorker.com/contributors/don-delillo,Don DeLillo,http://www.newyorker.com/magazine/2007/04/09/still-life-8,Still-Life,Still-Life,Don DeLillo,http://www.newyorker.com/magazine/fiction/page/42
"March 19, 2007",http://www.newyorker.com/contributors/kate-walbert,Kate Walbert,http://www.newyorker.com/magazine/2007/03/26/playdate,Playdate,Playdate,Kate Walbert,http://www.newyorker.com/magazine/fiction/page/42
