    				
    				
    				
    				
"    If you're already a subscriber please sign in or link your subscription."""				
"    If you're already a subscriber please sign in or link your subscription."""				
"    If you're already a subscriber please sign in or link your subscription."""				
"    If you're already a subscriber please sign in or link your subscription."""				
Chicken Hill	http://www.newyorker.com/magazine/2015/09/14/chicken-hill			
Chicken Hill	http://www.newyorker.com/magazine/2015/09/14/chicken-hill			"You've read your last complimentary article this month. To read the full article, SUBSCRIBE NOW"
Chicken Hill	http://www.newyorker.com/magazine/2015/09/14/chicken-hill			"She didn’t know what had possessed her to participate in such a thing. A little boy had been run over by a sheriff’s deputy, and there was a memorial fund-raiser at the Barbed Wire, a biker bar in a somewhat alarming part of town, and Ruth had gone and bought a beer and put thirty dollars into an empty terrarium, for funeral expenses. The place was loud and crowded, and she was given a plate with a tamale on it. Outside, someone had brought a pony and was providing pony rides for the dead boy’s friends. No one spoke to her directly, but she learned that the boy’s name was Hector and that his father was suing the sheriff’s department."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"“Yes, Big Uncle, I swear.” I was suddenly afraid, but then he gave me a wide smile and sat down again in a single motion, tired and old."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"We shook our heads no, though we both did."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"“Yes, sir.”"
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"“Our ancestors were fierce archers,” Big Uncle said. “I don’t know where we learned it. From the Mongols, probably. In the old days, there were men in the Lee clan who galloped on horseback and shot arrows so straight they could hit the hole in a dangling coin.”"
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"We dragged the boat up a little ways, and I uncoiled the rope and tied it to a sapling."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"We didn’t know what to say, because any answer would have been wrong. If we said yes, we’d be admitting that we had smelled his rotting flesh before the cigarette smoke, and if we said no we’d be saying that the smell of smoke didn’t cover the odor of his foot, which he had wrapped in a makeshift bandage of dry moss, with only a few strands of straw to bind it together."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"“Ya! ” Yongsu called after me. “Careful!” I heard his footfalls catching up to me as I ran along the trail through patches of light and shadow, feeling the texture of the ground change under me as I trod on pine needles, then pebbles, then dry earth."
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"“An inauspicious number,” Big Uncle said. “Sa. The death number. The snake number. You know, ungh?”"
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			“Stop!” the shape said.
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			“That’s right.”
Five Arrows	http://www.newyorker.com/magazine/2015/08/03/five-arrows			"In a few moments, Yongsu was at my side, tugging at my shirt to make me stop, but I pulled away and continued to run in the direction of the sound. We came around a sharp bend in the trail and squinted into the sun that shone through a gap in the trees. A huge silhouette stood before us, massive and black to our sun-blind eyes."
