date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
"March 3, 2003",http://www.newyorker.com/contributors/caitlin-macy,Caitlin Macy,http://www.newyorker.com/magazine/2003/03/10/christie,Christie,Christie,Caitlin Macy,http://www.newyorker.com/magazine/fiction/page/61
"February 24, 2003",http://www.newyorker.com/contributors/louise-erdrich,Louise Erdrich,http://www.newyorker.com/magazine/2003/03/03/the-painted-drum,The Painted Drum,The Painted Drum,Louise Erdrich,http://www.newyorker.com/magazine/fiction/page/61
"February 10, 2003",http://www.newyorker.com/contributors/gao-xingjian,Gao Xingjian,http://www.newyorker.com/magazine/2003/02/17/the-temple,The Temple,The Temple,Gao Xingjian,http://www.newyorker.com/magazine/fiction/page/61
"February 3, 2003",,,http://www.newyorker.com/magazine/2003/02/10/deep-junior-press-conference,Deep Junior Press Conference,Deep Junior Press Conference,,http://www.newyorker.com/magazine/fiction/page/61
"February 3, 2003",http://www.newyorker.com/contributors/haruki-murakami,Haruki Murakami,http://www.newyorker.com/magazine/2003/02/10/ice-man-2,Ice Man,Ice Man,Haruki Murakami,http://www.newyorker.com/magazine/fiction/page/61
"January 27, 2003",http://www.newyorker.com/contributors/charles-dambrosio,Charles D'Ambrosio,http://www.newyorker.com/magazine/2003/02/03/the-high-divide,The High Divide,The High Divide,Charles D'Ambrosio,http://www.newyorker.com/magazine/fiction/page/61
"January 20, 2003",http://www.newyorker.com/contributors/george-saunders,George Saunders,http://www.newyorker.com/magazine/2003/01/27/jon,Jon,Jon,George Saunders,http://www.newyorker.com/magazine/fiction/page/61
"January 6, 2003",http://www.newyorker.com/contributors/tobias-wolff,Tobias Wolff,http://www.newyorker.com/magazine/2003/01/06/class-picture-2,Class Picture,Class Picture,Tobias Wolff,http://www.newyorker.com/magazine/fiction/page/61
"January 6, 2003",,,http://www.newyorker.com/magazine/2003/01/13/gallatin-canyon,Gallatin Canyon,Gallatin Canyon,,http://www.newyorker.com/magazine/fiction/page/61
"December 16, 2002",http://www.newyorker.com/contributors/alessandro-baricco,Alessandro Baricco,http://www.newyorker.com/magazine/2002/12/23/without-blood,Without Blood,Without Blood,Alessandro Baricco,http://www.newyorker.com/magazine/fiction/page/61
"December 16, 2002",http://www.newyorker.com/contributors/e-l-doctorow,E. L. Doctorow,http://www.newyorker.com/magazine/2002/12/23/jolene-a-life,Jolene: A Life,Jolene: A Life,E. L. Doctorow,http://www.newyorker.com/magazine/fiction/page/62
"November 18, 2002",http://www.newyorker.com/contributors/zz-packer,ZZ Packer,http://www.newyorker.com/magazine/2002/11/25/the-ant-of-the-self,The Ant of the Self,The Ant of the Self,ZZ Packer,http://www.newyorker.com/magazine/fiction/page/62
"November 11, 2002",http://www.newyorker.com/contributors/james-salter,James Salter,http://www.newyorker.com/magazine/2002/11/18/last-night-2,Last Night,Last Night,James Salter,http://www.newyorker.com/magazine/fiction/page/62
"October 28, 2002",http://www.newyorker.com/contributors/antonya-nelson,Antonya Nelson,http://www.newyorker.com/magazine/2002/11/04/only-a-thing,Only a Thing,Only a Thing,Antonya Nelson,http://www.newyorker.com/magazine/fiction/page/62
"October 21, 2002",http://www.newyorker.com/contributors/maile-meloy,Maile Meloy,http://www.newyorker.com/magazine/2002/10/28/travis-b,"Travis, B.","Travis, B.",Maile Meloy,http://www.newyorker.com/magazine/fiction/page/62
"October 7, 2002",http://www.newyorker.com/contributors/aleksander-hemon,Aleksander Hemon,http://www.newyorker.com/magazine/2002/10/14/the-bees-part-1,"The Bees, Part 1","The Bees, Part 1",Aleksander Hemon,http://www.newyorker.com/magazine/fiction/page/62
"September 30, 2002",http://www.newyorker.com/contributors/charles-dambrosio,Charles D'Ambrosio,http://www.newyorker.com/magazine/2002/10/07/drummond-son,Drummond & Son,Drummond & Son,Charles D'Ambrosio,http://www.newyorker.com/magazine/fiction/page/62
"September 23, 2002",http://www.newyorker.com/contributors/jessica-shattuck,Jessica Shattuck,http://www.newyorker.com/magazine/2002/09/30/bodies-2,Bodies,Bodies,Jessica Shattuck,http://www.newyorker.com/magazine/fiction/page/62
"July 22, 2002",http://www.newyorker.com/contributors/jeffrey-eugenides,Jeffrey Eugenides,http://www.newyorker.com/magazine/2002/07/29/the-obscure-object,The Obscure Object,The Obscure Object,Jeffrey Eugenides,http://www.newyorker.com/magazine/fiction/page/62
"July 8, 2002",http://www.newyorker.com/contributors/robert-stone,Robert Stone,http://www.newyorker.com/magazine/2002/07/15/fun-with-problems,Fun with Problems,Fun with Problems,Robert Stone,http://www.newyorker.com/magazine/fiction/page/62
