date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
"October 21, 2013",http://www.newyorker.com/contributors/haruki-murakami,Haruki Murakami,http://www.newyorker.com/magazine/2013/10/28/samsa-in-love,Samsa in Love,Samsa in Love,Haruki Murakami,http://www.newyorker.com/magazine/fiction/page/11
"October 14, 2013",http://www.newyorker.com/contributors/alice-munro,Alice Munro,http://www.newyorker.com/magazine/2013/10/21/the-bear-came-over-the-mountain-2,The Bear Came Over the Mountain,The Bear Came Over the Mountain,Alice Munro,http://www.newyorker.com/magazine/fiction/page/11
"October 7, 2013",http://www.newyorker.com/contributors/lara-vapnyar,Lara Vapnyar,http://www.newyorker.com/magazine/2013/10/14/katania,Katania,Katania,Lara Vapnyar,http://www.newyorker.com/magazine/fiction/page/11
"September 30, 2013",http://www.newyorker.com/contributors/joshua-ferris,Joshua Ferris,http://www.newyorker.com/magazine/2013/09/30/the-breeze,The Breeze,The Breeze,Joshua Ferris,http://www.newyorker.com/magazine/fiction/page/11
"September 30, 2013",http://www.newyorker.com/contributors/paul-theroux,Paul Theroux,http://www.newyorker.com/magazine/2013/10/07/im-the-meat-youre-the-knife,"I’M the Meat, You’Re the Knife","I’M the Meat, You’Re the Knife",Paul Theroux,http://www.newyorker.com/magazine/fiction/page/11
"September 16, 2013",http://www.newyorker.com/contributors/tessa-hadley,Tessa Hadley,http://www.newyorker.com/magazine/2013/09/23/bad-dreams-3,Bad Dreams,Bad Dreams,Tessa Hadley,http://www.newyorker.com/magazine/fiction/page/11
"September 9, 2013",http://www.newyorker.com/contributors/tahar-ben-jelloun,Tahar Ben Jelloun,http://www.newyorker.com/magazine/2013/09/16/by-fire,By Fire,By Fire,Tahar Ben Jelloun,http://www.newyorker.com/magazine/fiction/page/11
"September 2, 2013",http://www.newyorker.com/contributors/dorthe-nors,Dorthe Nors,http://www.newyorker.com/magazine/2013/09/09/the-heron,The Heron,The Heron,Dorthe Nors,http://www.newyorker.com/magazine/fiction/page/11
"August 26, 2013",http://www.newyorker.com/contributors/robert-coover,Robert Coover,http://www.newyorker.com/magazine/2013/09/02/the-colonels-daughter,The Colonel’s Daughter,The Colonel’s Daughter,Robert Coover,http://www.newyorker.com/magazine/fiction/page/11
"August 19, 2013",http://www.newyorker.com/contributors/yu-hua,Yu Hua,http://www.newyorker.com/magazine/2013/08/26/victory-7,Victory,Victory,Yu Hua,http://www.newyorker.com/magazine/fiction/page/11
"August 5, 2013",http://www.newyorker.com/contributors/zadie-smith,Zadie Smith,http://www.newyorker.com/magazine/2013/08/12/meet-the-president,Meet the President!,Meet the President!,Zadie Smith,http://www.newyorker.com/magazine/fiction/page/12
"July 29, 2013",http://www.newyorker.com/contributors/shirley-jackson,Shirley Jackson,http://www.newyorker.com/magazine/2013/08/05/paranoia-3,Paranoia,Paranoia,Shirley Jackson,http://www.newyorker.com/magazine/fiction/page/12
"July 22, 2013",http://www.newyorker.com/contributors/daniel-alarcn,Daniel Alarcón,http://www.newyorker.com/magazine/2013/07/29/collectors-3,Collectors,Collectors,Daniel Alarcón,http://www.newyorker.com/magazine/fiction/page/12
"July 15, 2013",http://www.newyorker.com/contributors/david-gilbert,David Gilbert,http://www.newyorker.com/magazine/2013/07/22/from-a-farther-room,From a Farther Room,From a Farther Room,David Gilbert,http://www.newyorker.com/magazine/fiction/page/12
"July 1, 2013",http://www.newyorker.com/contributors/tobias-wolff,Tobias Wolff,http://www.newyorker.com/magazine/2013/07/08/all-ahead-of-them,All Ahead of Them,All Ahead of Them,Tobias Wolff,http://www.newyorker.com/magazine/fiction/page/12
"June 24, 2013",http://www.newyorker.com/contributors/joyce-carol-oates,Joyce Carol Oates,http://www.newyorker.com/magazine/2013/07/01/mastiff,Mastiff,Mastiff,Joyce Carol Oates,http://www.newyorker.com/magazine/fiction/page/12
"June 17, 2013",http://www.newyorker.com/contributors/thomas-mcguane,Thomas McGuane,http://www.newyorker.com/magazine/2013/06/24/stars-3,Stars,Stars,Thomas McGuane,http://www.newyorker.com/magazine/fiction/page/12
"June 3, 2013",http://www.newyorker.com/contributors/dashiell-hammett,Dashiell Hammett,http://www.newyorker.com/magazine/2013/06/10/an-inch-and-a-half-of-glory,An Inch And a Half of Glory,An Inch And a Half of Glory,Dashiell Hammett,http://www.newyorker.com/magazine/fiction/page/12
"June 3, 2013",http://www.newyorker.com/contributors/annie-proulx,Annie Proulx,http://www.newyorker.com/magazine/2013/06/10/rough-deeds,Rough Deeds,Rough Deeds,Annie Proulx,http://www.newyorker.com/magazine/fiction/page/12
"June 3, 2013",http://www.newyorker.com/contributors/ed-park,Ed Park,http://www.newyorker.com/magazine/2013/06/10/slide-to-unlock,Slide To Unlock,Slide To Unlock,Ed Park,http://www.newyorker.com/magazine/fiction/page/12
"June 3, 2013",http://www.newyorker.com/contributors/annie-proulx,Annie Proulx,http://www.newyorker.com/magazine/2013/06/10/rough-deeds,Rough Deeds,Rough Deeds,Annie Proulx,http://www.newyorker.com/magazine/fiction/page/13
"June 3, 2013",http://www.newyorker.com/contributors/ed-park,Ed Park,http://www.newyorker.com/magazine/2013/06/10/slide-to-unlock,Slide To Unlock,Slide To Unlock,Ed Park,http://www.newyorker.com/magazine/fiction/page/13
"May 27, 2013",http://www.newyorker.com/contributors/akhil-sharma,Akhil Sharma,http://www.newyorker.com/magazine/2013/06/03/we-didnt-like-him,We Didn’t Like Him,We Didn’t Like Him,Akhil Sharma,http://www.newyorker.com/magazine/fiction/page/13
"May 20, 2013",http://www.newyorker.com/contributors/steven-millhauser,Steven Millhauser,http://www.newyorker.com/magazine/2013/05/27/thirteen-wives,Thirteen Wives,Thirteen Wives,Steven Millhauser,http://www.newyorker.com/magazine/fiction/page/13
"May 13, 2013",http://www.newyorker.com/contributors/ben-marcus,Ben Marcus,http://www.newyorker.com/magazine/2013/05/20/the-dark-arts-2,The Dark Arts,The Dark Arts,Ben Marcus,http://www.newyorker.com/magazine/fiction/page/13
"May 6, 2013",http://www.newyorker.com/contributors/fiona-mcfarlane,Fiona McFarlane,http://www.newyorker.com/magazine/2013/05/13/art-appreciation,Art Appreciation,Art Appreciation,Fiona McFarlane,http://www.newyorker.com/magazine/fiction/page/13
"April 29, 2013",http://www.newyorker.com/contributors/jonathan-lethem,Jonathan Lethem,http://www.newyorker.com/magazine/2013/05/06/the-gray-goose,The Gray Goose,The Gray Goose,Jonathan Lethem,http://www.newyorker.com/magazine/fiction/page/13
"April 22, 2013",http://www.newyorker.com/contributors/joshua-ferris,Joshua Ferris,http://www.newyorker.com/magazine/2013/04/29/the-fragments,The Fragments,The Fragments,Joshua Ferris,http://www.newyorker.com/magazine/fiction/page/13
