date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
"March 23, 2009",http://www.newyorker.com/contributors/craig-raine,Craig Raine,http://www.newyorker.com/magazine/2009/03/30/julia-and-byron,Julia and Byron,Julia and Byron,Craig Raine,http://www.newyorker.com/magazine/fiction/page/32
"March 16, 2009",,,http://www.newyorker.com/magazine/2009/03/23/shes-the-one,She’s the One,She’s the One,,http://www.newyorker.com/magazine/fiction/page/32
"March 2, 2009",http://www.newyorker.com/contributors/david-foster-wallace,David Foster Wallace,http://www.newyorker.com/magazine/2009/03/09/wiggle-room,Wiggle Room,Wiggle Room,David Foster Wallace,http://www.newyorker.com/magazine/fiction/page/32
"February 23, 2009",http://www.newyorker.com/contributors/a-m-homes,A. M. Homes,http://www.newyorker.com/magazine/2009/03/02/brother-on-sunday,Brother on Sunday,Brother on Sunday,A. M. Homes,http://www.newyorker.com/magazine/fiction/page/32
"February 16, 2009",http://www.newyorker.com/contributors/italo-calvino,Italo Calvino,http://www.newyorker.com/magazine/2009/02/23/the-daughters-of-the-moon,The Daughters of the Moon,The Daughters of the Moon,Italo Calvino,http://www.newyorker.com/magazine/fiction/page/32
"February 2, 2009",http://www.newyorker.com/contributors/steven-millhauser,Steven Millhauser,http://www.newyorker.com/magazine/2009/02/09/the-invasion-from-outer-space,The Invasion from Outer Space,The Invasion from Outer Space,Steven Millhauser,http://www.newyorker.com/magazine/fiction/page/32
"January 26, 2009",http://www.newyorker.com/contributors/george-saunders,George Saunders,http://www.newyorker.com/magazine/2009/02/02/al-roosten,Al Roosten,Al Roosten,George Saunders,http://www.newyorker.com/magazine/fiction/page/32
"January 19, 2009",http://www.newyorker.com/contributors/aravind-adiga,Aravind Adiga,http://www.newyorker.com/magazine/2009/01/26/the-elephant,The Elephant,The Elephant,Aravind Adiga,http://www.newyorker.com/magazine/fiction/page/32
"January 12, 2009",http://www.newyorker.com/contributors/antonya-nelson,Antonya Nelson,http://www.newyorker.com/magazine/2009/01/19/soldiers-joy,Soldier’s Joy,Soldier’s Joy,Antonya Nelson,http://www.newyorker.com/magazine/fiction/page/32
"January 5, 2009",http://www.newyorker.com/contributors/joyce-carol-oates,Joyce Carol Oates,http://www.newyorker.com/magazine/2009/01/12/pumpkin-head,Pumpkin Head,Pumpkin Head,Joyce Carol Oates,http://www.newyorker.com/magazine/fiction/page/32
"December 29, 2008",http://www.newyorker.com/contributors/julian-barnes,Julian Barnes,http://www.newyorker.com/magazine/2009/01/05/the-limner,The Limner,The Limner,Julian Barnes,http://www.newyorker.com/magazine/fiction/page/33
"December 15, 2008",http://www.newyorker.com/contributors/donald-antrim,Donald Antrim,http://www.newyorker.com/magazine/2008/12/22/another-manhattan,Another Manhattan,Another Manhattan,Donald Antrim,http://www.newyorker.com/magazine/fiction/page/33
"December 15, 2008",http://www.newyorker.com/contributors/alice-munro,Alice Munro,http://www.newyorker.com/magazine/2008/12/22/some-women,Some Women,Some Women,Alice Munro,http://www.newyorker.com/magazine/fiction/page/33
"December 15, 2008",http://www.newyorker.com/contributors/roberto-bolano,Roberto Bolaño,http://www.newyorker.com/magazine/2008/12/22/meeting-with-enrique-lihn,Meeting with Enrique Lihn,Meeting with Enrique Lihn,Roberto Bolaño,http://www.newyorker.com/magazine/fiction/page/33
"December 15, 2008",http://www.newyorker.com/contributors/colson-whitehead,Colson Whitehead,http://www.newyorker.com/magazine/2008/12/22/the-gangsters,The Gangsters,The Gangsters,Colson Whitehead,http://www.newyorker.com/magazine/fiction/page/33
"December 8, 2008",http://www.newyorker.com/contributors/william-trevor,William Trevor,http://www.newyorker.com/magazine/2008/12/15/the-woman-of-the-house,The Woman of the House,The Woman of the House,William Trevor,http://www.newyorker.com/magazine/fiction/page/33
"December 1, 2008",http://www.newyorker.com/contributors/amos-oz,Amos Oz,http://www.newyorker.com/magazine/2008/12/08/waiting-9,Waiting,Waiting,Amos Oz,http://www.newyorker.com/magazine/fiction/page/33
