date,author,author/_title,title,title/_title,title/_text,author/_text,pageUrl
21-Sep-15,http://www.newyorker.com/contributors/thomas-mcguane,Thomas McGuane,http://www.newyorker.com/magazine/2015/09/28/the-driver-fiction-thomas-mcguane,The Driver,The Driver,Thomas McGuane,http://www.newyorker.com/magazine/fiction/page/1
14-Sep-15,http://www.newyorker.com/contributors/amos-oz,Amos Oz,http://www.newyorker.com/magazine/2015/09/21/my-curls-have-blown-all-the-way-to-china,My Curls Have Blown All the Way to China,My Curls Have Blown All the Way to China,Amos Oz,http://www.newyorker.com/magazine/fiction/page/1
7-Sep-15,http://www.newyorker.com/contributors/joy-williams,Joy Williams,http://www.newyorker.com/magazine/2015/09/14/chicken-hill,Chicken Hill,Chicken Hill,Joy Williams,http://www.newyorker.com/magazine/fiction/page/1
31-Aug-15,http://www.newyorker.com/contributors/danielle-mclaughlin,Danielle McLaughlin,http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling,In the Act of Falling,In the Act of Falling,Danielle McLaughlin,http://www.newyorker.com/magazine/fiction/page/1
24-Aug-15,http://www.newyorker.com/contributors/jensen-beach,Jensen Beach,http://www.newyorker.com/magazine/2015/08/31/the-apartment,The Apartment,The Apartment,Jensen Beach,http://www.newyorker.com/magazine/fiction/page/1
17-Aug-15,http://www.newyorker.com/contributors/alice-mcdermott,Alice McDermott,http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days,"These Short, Dark Days","These Short, Dark Days",Alice McDermott,http://www.newyorker.com/magazine/fiction/page/1
3-Aug-15,http://www.newyorker.com/contributors/michael-cunningham,Michael Cunningham,http://www.newyorker.com/magazine/2015/08/10/little-man,Little Man,Little Man,Michael Cunningham,http://www.newyorker.com/magazine/fiction/page/1
27-Jul-15,http://www.newyorker.com/contributors/heinz-insu-fenkl,Heinz Insu Fenkl,http://www.newyorker.com/magazine/2015/08/03/five-arrows,Five Arrows,Five Arrows,Heinz Insu Fenkl,http://www.newyorker.com/magazine/fiction/page/1
20-Jul-15,http://www.newyorker.com/contributors/tessa-hadley,Tessa Hadley,http://www.newyorker.com/magazine/2015/07/27/silk-brocade,Silk Brocade,Silk Brocade,Tessa Hadley,http://www.newyorker.com/magazine/fiction/page/1
13-Jul-15,http://www.newyorker.com/contributors/lauren-groff,Lauren Groff,http://www.newyorker.com/magazine/2015/07/20/ghosts-and-empties,Ghosts and Empties,Ghosts and Empties,Lauren Groff,http://www.newyorker.com/magazine/fiction/page/2
29-Jun-15,http://www.newyorker.com/contributors/alejandro-zambra,Alejandro Zambra,http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1,Reading Comprehension: Text No. 1,Reading Comprehension: Text No. 1,Alejandro Zambra,http://www.newyorker.com/magazine/fiction/page/2
22-Jun-15,http://www.newyorker.com/contributors/louise-erdrich,Louise Erdrich,http://www.newyorker.com/magazine/2015/06/29/the-flower,The Flower,The Flower,Louise Erdrich,http://www.newyorker.com/magazine/fiction/page/2
15-Jun-15,http://www.newyorker.com/contributors/ben-marcus,Ben Marcus,http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues,The Grow-Light Blues,The Grow-Light Blues,Ben Marcus,http://www.newyorker.com/magazine/fiction/page/2
1-Jun-15,http://www.newyorker.com/contributors/karen-russell,Karen Russell,http://www.newyorker.com/magazine/2015/06/08/the-prospectors,The Prospectors,The Prospectors,Karen Russell,http://www.newyorker.com/magazine/fiction/page/2
1-Jun-15,http://www.newyorker.com/contributors/primo-levi,Primo Levi,http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris,Quaestio De Centauris,Quaestio De Centauris,Primo Levi,http://www.newyorker.com/magazine/fiction/page/2
1-Jun-15,http://www.newyorker.com/contributors/jonathan-safran-foer,Jonathan Safran Foer,http://www.newyorker.com/magazine/2015/06/08/love-is-blind-and-deaf,Love Is Blind and Deaf,Love Is Blind and Deaf,Jonathan Safran Foer,http://www.newyorker.com/magazine/fiction/page/2
